"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","Type","Integrated Desktop Category","Product Marketed as a Workstation","Installed NPU","Motherboard Form Factor","Product DIMM Count","Operating System Name","Processor Brand","Processor Name","Physical CPU Cores (count)","CPU Packages (count)","CPU Base Clock Speed (GHz) ","CPU Maximum Clock Speed (GHz) ","System Memory (GB)","Multi-Channel Memory Support","Capable of Switchable Graphics","Switchable Graphics Enabled by Default in AC Mode ","Discrete Graphics Frame Buffer Bandwidth (GB/s) ","Discrete Graphics Frame Buffer Data Width (bits) ","Fast Ethernet Ports (count)","Gigabit Ethernet Ports (count) ","10 Gigabit Ethernet Ports (count)","Energy Efficient Ethernet (EEE) ","Number of Installed Storage Drives ","Number of Integrated Displays (count) ","Integrated Display Resolution (megapixels) ","Integrated Display Viewable Screen Area (sq in) ","Enhanced Performance Display Present ","Integrated Display Diagonal Screen Size (in)","Internal Power Supply Efficiency at 10% Load","Internal Power Supply Efficiency at 20% Load","Internal Power Supply Efficiency at 50% Load","Internal Power Supply Efficiency at 100% Load","Category I1/1 Internal Power Supply Efficiency at 50% Load","Category I1/1 Internal Power Supply Efficiency at 100% Load","External Power Supply Rated Power (W)","Internal Power Supply Rated Power (W)","MUX Device","Storage Technology","Total Battery Capacity (watt-hours)","Default Low-power Mode","Long Idle Power Used for Sleep Mode","Off Mode (watts)","Sleep Mode (watts)","Long Idle (watts)","Short Idle (watts)","Additional Measured Power in Short Idle at 115V (W) ","Base TEC Allowance (kWh)","Functional Adder Allowances (kWh)","TEC of Model (kWh)","Maximum TEC Requirements (Etec max) (kWh) ","Ethernet Capability","Touch Screen","Sleep Mode Default Time Upon Shipment (min.)","Display Sleep Mode Default Time Upon Shipment (min.)","WOL (Wake on LAN) From Sleep","Will the Speed of Any Active 1 GB/s or Higher Ethernet Network Links be Reduced to Less Than 1 GB/s When Transitioning to Sleep or Off Mode?","Date Available On Market","Date Certified","Markets","CB Model Identifier"
"4497689","Lenovo Group Limited","Lenovo","ThinkCentre M75s Gen 5","12T9","ThinkCentre M75s Gen 5,12TA; ThinkCentre M75s Gen5,13DY; ThinkCentre M75s Gen 5,13EX",,"Desktop",,,"No",,"2","Ubuntu,Windows 10,Windows 11","AMD","R7 PRO 8700G","8","1","4.2","5.1","64","No","No",,"128","64","0","1","0","Yes","3",,,,,,"0.89","0.91",,,"0.92","0.89",,"310","No","3.5 inch HDD,SSD",,"Sleep Mode","No","0.9","1.9","13.2","16.6",,"41","55.8","63.7","96.8","Yes","No","25","10","Shipped Enabled Under All Conditions","Yes","05/30/2024","09/03/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1037540_12T9_09022025134412_7076379"
"4497688","Lenovo Group Limited","Lenovo","ThinkCentre M75t Gen 5","12X8","ThinkCentre M75t Gen 5,12X9",,"Desktop",,,"No",,"2","Ubuntu,Windows 10,Windows 11","AMD","R7 PRO 8700G","8","1","4.2","5.1","64","No","No",,"224","128","0","1","0","Yes","3",,,,,,"0.89","0.91",,,"0.93","0.89",,"310","No","3.5 inch HDD,SSD",,"Sleep Mode","No","0.9","2.1","12.1","19.3",,"41","62.3","70.5","103.3","Yes","No","25","10","Shipped Enabled Under All Conditions","Yes","05/30/2024","09/03/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1037540_12X8_09022025132812_8344690"
"4497687","Dynabook Americas, Inc.","dynabook","PORTEGE X30W-K","PDA40*","PORTEGE X30W-K,PDA41*; PORTEGE X30W-K,PDA42*; PORTEGE X30W-K,PDA43*; PORTEGE X30W-K,PDA44*; PORTEGE X30W-K,PDA45*; PORTEGE X30W-K,PDA46*; PORTEGE X30W-K,PDA4A*; PORTEGE X30W-K,PDA4B*; PORTEGE X30W-K,PDA4C*; PORTEGE X30W-K,PDA4D*; PORTEGE X30W-K,PDA4E*",,"Notebook",,"No","No",,,"Windows 11","Intel","Core i7","14","1","1.9","5.2","32",,,,,,,,,"No","1","1","2.07","75.24","No","13.3",,,,,,,"65",,"No","SSD","53","Connected Modern Standby","No","0.4","0.5","0.5","5.2","5.5","8","9.5","12.5","17.5","No","Yes","5","5",,,"11/18/2023","09/03/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1109262_PDA40*_08222025170409_1721155"
"4497675","LG Electronics, Inc.","LG","16Z90S**","16Z90S**-*******","16Z*90S**,16Z*90S**-*******,* may be 0-9, A-Z or blank according to color of stand or enclosure","195174075098;195174075326;195174075333;195174075340;195174080252;195174080290;195174081259;195174084274;195174087428;195174087435;195174087442;195174133583","Notebook",,"No","Yes",,,"Windows 11 HOME","Intel","Core Ultra 7 155H","16","14","1.4","4.8","32",,"No","No",,,,,,"No","1","1","4","114.68","No","16",,,,,,,"65",,"No","M.2","77","Sleep Mode","Yes","0.3","1.1","1.1","4.9","5.5","8","13.5","15.9","21.3","No","Yes","5","5",,,"12/01/2023","09/02/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1118034_16Z90S*-*_102320230232773_2051228"
"4497663","Lenovo Group Limited","Lenovo","Lenovo V100q","13GE","Lenovo V100q,13GF",,"Desktop",,,"No",,"1","Windows 11","Intel","i3-N305","8","1","1.8","3.8","16","No","No",,,,"0","1","0","Yes","1",,,,,,,,,,,,"65",,"No","SSD",,"Sleep Mode","No","0.3","0.7","4.9","5.3",,"41","1.9","21.1","42.9","Yes","No","25","10","Shipped Enabled Under All Conditions","Yes","09/08/2025","09/01/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1037540_13GE_08272025155710_8275720"
"4497662","Dynabook Americas, Inc.","dynabook","PORTEGE X30L-K","PCR40*","PORTEGE X30L-K,PCR41*; PORTEGE X30L-K,PCR42*; PORTEGE X30L-K,PCR43*; PORTEGE X30L-K,PCR44*",,"Notebook",,"No","No",,,"Windows 11","Intel","Core i7","14","1","1.9","5.2","32",,,,,,"0","1","0","Yes","1","1","2.07","75.24","No","13.3",,,,,,,"65",,"No","SSD","53","Connected Modern Standby","No","0.4","0.6","0.6","5.7","6.4","8","8.7","13.8","16.7","Yes","No","5","5","Shipped Disabled","Yes","04/21/2022","09/01/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1109262_PCR40*_08262025153548_7819635"
"4497643","ASUSTeK Computer Inc.","ASUS","PM640KA","PM640KA","PM640KA,VM640KA",,"Integrated Desktop","Category 2",,"No",,"2","Windows 11 Pro","AMD","Ryzen AI 7","8","1","2","5","32","No",,,,,,"1",,"Yes","2","1","2.07","241.79","No","24",,,,,,,"120",,"No","SSD",,"Modern Standby","Yes","0.2","1.9","1.9","14.6",,"19","51","47.6","69.9","Yes","Yes","5","5",,,"09/30/2025","08/29/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_PM640KA_082720250518454_7088255"
"4497642","Lenovo Group Limited","Lenovo","ThinkPad T14p Gen 3","21RU","22A3, TP00155B",,"Notebook",,"No","Yes",,,"Windows 11 Pro","Intel","Intel Core Ultra 9 285H","16","1","2.9","5.4","64",,"Yes","Yes","384","128",,"1",,"Yes","1","1","5.9","94.49","No","14.5",,,,,,,"140",,"No","SSD","75","ALPM","Yes","0.5","1.2","1.2","4.8","6.6","8","16.5","16.5","24.3","Yes","No","5","5","Shipped Enabled Under All Conditions","Yes","08/08/2025","08/22/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1037540_21RU_08192025113946_8400277"
"4497641","LG Electronics, Inc.","LG","27CQ6***","27CQ6***-**","* may be 0-9, A-Z or blank according to color of stand or enclosure","195174052273","Integrated Thin Client",,,,,,"Windows 10 IoT, IGEL OS","Intel","Pentium N6005","1","4","2","3.3","8",,,"No",,,,"1",,"No",,"1","2.07","311.7","No",,,,,,,,,,,"Solid State Drive",,"Sleep Mode","Yes","1.2","1.3","4.3","20.5",,,,"73.9","77.6","Yes",,"30","10","Shipped Enabled When Operating on Ac Power Only",,"04/28/2023","09/01/2025","United States","ES_1118034_27CQ6**I-**_041820230558801_9304636"
"4497640","Lenovo Group Limited","Lenovo","ThinkStation P3 Tower Gen 2","ThinkStation P3 Tower Gen 2(30HT)","ThinkStation P3 Tower Gen 2,ThinkStation P3 Tower Gen 2(30HS); ThinkStation P3 Tower Gen 2,ThinkStation P3 Tower Gen 2(30HU); ThinkStation P3 Tower Gen 2,ThinkStation P3 Tower Gen 2(30HV); ThinkStation P3 Tower Gen 2,ThinkStation P3 Tower Gen 2(30HW); ThinkStation P3 Tower Gen 2,ThinkStation P3 Tower Gen 2(30HX); ThinkStation P3 Tower Gen 2,ThinkStation P3 Tower Gen 2(30HY); ThinkStation P3 Tower Gen 2,ThinkStation P3 Tower Gen 2(30J0); ThinkStation P3 Tower Gen 2,ThinkStation P3 Tower Gen 2(30J1); ThinkStation P3 Tower Gen 2,ThinkStation P3 Tower Gen 2(30J2)",,"Workstation",,"Yes",,,,"Windows 11 pro","Intel","Ultra 9 285K","24","1","3.7","5.7","192",,,"Yes","1,792","512",,"1",,"No",,,,,,,,"0.93","0.92","0.9",,,,,,"Solid State Drive",,,,"1","2.4","40","69.9",,,,"33.4",,"Yes",,"25","10","Shipped Enabled Under All Conditions",,"07/14/2025","09/01/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1037540_ThinkStation P3 Tower Gen 2(30HT)_082920250745544_9228862"
"4497639","Acer Incorporated","Acer","N24Q6","TMP216-51-G3-TCO","N24Q6,TMP216-71-G3-TCO",,"Notebook",,"No","Yes",,,"Windows 11 Pro","Intel","Ultra 7 155H","16","1","1.4","4.8","64",,,,,,"1","1",,"Yes","1","1","2.3","115.5","No","16",,,,,,,"65",,"No","SSD","65","ALPM","Yes","0.5","1","1","6.2","8.3","8","14.7","17.4","22.5","Yes","No","5","5","Shipped Disabled",,"09/09/2025","09/01/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_20101_TMP216-51-G3-TCO_082820250227717_8648208"
"4497591","Dynabook Americas, Inc.","dynabook","PORTEGE X40L-M","PZA30*","PORTEGE X40L-M,PZA31*; PORTEGE X40L-M,PZA32*; PORTEGE X40L-M,PZA33*; PORTEGE X40L-M,PZA34*; PORTEGE X40L-M,PZA35*; PORTEGE X40L-M,PZA36*; PORTEGE X40L-M,PZA37*; PORTEGE X40L-M,PZA3A*; PORTEGE X40L-M,PZA3B*; PORTEGE X40L-M,PZA3C*",,"Notebook",,"No","Yes",,,"Windows 11","Intel","Core Ultra 7","16","1","1.4","5","32",,,,,,"0","1","0","Yes","1","1","2.3","88.12","Yes","14",,,,,,,"65",,"No","SSD","65","Connected Modern Standby","No","0.4","0.6","0.6","4.1","4.4","8","11.2","11.3","19.2","Yes","No","5","5","Shipped Disabled","Yes","03/20/2024","08/29/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1109262_PZA30*_08192025152752_7736627"
"4497587","HP Inc.","HP","HP Pro x360 435 13.3 inch G10 Notebook PC (ENERGY STAR)","HSN-I54C","HP ProBook x360 435 G9 Notebook PC (ENERGY STAR); HP ProBook x360 435 G9X Notebook PC (ENERGY STAR); HP Pro x360 435 13.3 inch G9 Notebook PC (ENERGY STAR)","196786950773;196786950780;196786950797;196786950803;196786950810;196786950827;196786950834;196786950841;196786950858","Notebook",,"No","No",,,"Windows 11","AMD","Ryzen 7","8","1","2","4.5","32",,,,,,"0","0","0","No","1","1","2.07","79.5","No","13.3",,,,,,,"65",,"No","SDD","42.8","Connected Sleep","No","0.4","0.8","0.8","5.1","5.3","8","9.7","14.3","17.5","No","Yes","10","10",,,"04/15/2022","08/28/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1024439_HSN-I54C_08292025130728_5712140"
"4497582","HP Inc.","HP","HP 23.8","24-cr","HP 23.8 inch All-in-One Desktop AI PC 24-cr ENERGY STAR,24-cr; HP 23.8 inch All-in-One Desktop AI PC 24-cr ENERGY STAR,24-ct; HP 23.8 inch All-in-One Desktop AI PC 24-cr ENERGY STAR,ProOne 240 23.8 inch G10 All-in-One Desktop PC; HP 23.8 inch All-in-One Desktop AI PC 24-cr ENERGY STAR,ProOne 240 G10; HP 23.8 inch All-in-One Desktop AI PC 24-cr ENERGY STAR,ProOne 245 23.8 inch G10 All-in-One Desktop PC; HP 23.8 inch All-in-One Desktop AI PC 24-cr ENERGY STAR,ProOne 245 G10; HP 23.8 inch All-in-One Desktop Next Gen AI PC 24-ct ENERGY STAR,24-cr; HP 23.8 inch All-in-One Desktop Next Gen AI PC 24-ct ENERGY STAR,24-ct; HP 23.8 inch All-in-One Desktop Next Gen AI PC 24-ct ENERGY STAR,ProOne 240 23.8 inch G10 All-in-One Desktop PC; HP 23.8 inch All-in-One Desktop Next Gen AI PC 24-ct ENERGY STAR,ProOne 240 G10; HP 23.8 inch All-in-One Desktop Next Gen AI PC 24-ct ENERGY STAR,ProOne 245 23.8 inch G10 All-in-One Desktop PC; HP 23.8 inch All-in-One Desktop Next Gen AI PC 24-ct ENERGY STAR,ProOne 245 G10; HP 23.8 inch All-in-One Desktop PC 24-cr ENERGY STAR,24-ct; HP 23.8 inch All-in-One Desktop PC 24-cr ENERGY STAR,ProOne 240 23.8 inch G10 All-in-One Desktop PC; HP 23.8 inch All-in-One Desktop PC 24-cr ENERGY STAR,ProOne 240 G10; HP 23.8 inch All-in-One Desktop PC 24-cr ENERGY STAR,ProOne 245 23.8 inch G10 All-in-One Desktop PC; HP 23.8 inch All-in-One Desktop PC 24-cr ENERGY STAR,ProOne 245 G10; HP ProOne 240 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,24-cr; HP ProOne 240 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,24-ct; HP ProOne 240 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 240 23.8 inch G10 All-in-One Desktop PC; HP ProOne 240 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 240 G10; HP ProOne 240 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 245 23.8 inch G10 All-in-One Desktop PC; HP ProOne 240 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 245 G10; HP ProOne 240 G10,24-cr; HP ProOne 240 G10,24-ct; HP ProOne 240 G10,ProOne 240 23.8 inch G10 All-in-One Desktop PC; HP ProOne 240 G10,ProOne 240 G10; HP ProOne 240 G10,ProOne 245 23.8 inch G10 All-in-One Desktop PC; HP ProOne 240 G10,ProOne 245 G10; HP ProOne 245 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,24-cr; HP ProOne 245 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,24-ct; HP ProOne 245 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 240 23.8 inch G10 All-in-One Desktop PC; HP ProOne 245 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 240 G10; HP ProOne 245 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 245 23.8 inch G10 All-in-One Desktop PC; HP ProOne 245 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 245 G10; HP ProOne 245 G10,24-cr; HP ProOne 245 G10,24-ct; HP ProOne 245 G10,ProOne 240 23.8 inch G10 All-in-One Desktop PC; HP ProOne 245 G10,ProOne 240 G10; HP ProOne 245 G10,ProOne 245 23.8 inch G10 All-in-One Desktop PC; HP ProOne 245 G10,ProOne 245 G10","196548369461;196548369478;196786924262;196786924279;196786924286;196786924293;196786924309;196786924316;196786932731;196786932748;196786932762;196786933929;196786933936;196786933943;196786933950;196786989315;196786989322;197029489920;197029571427;197029571441;197029571465;197029571472;197029960696;197029960702;197192175552;197498252476;197498252490;197498269894;197498269900;197498269917;197498269924;197498269931;197498879123;197498879130;197498879147;197498879154;197961199468;198701436584;198701436607;198701472353;198701474821;198701474838;198701474845;198828914811;198828914828;199251658464;199251658501","Integrated Desktop","Category 2",,"Yes",,"2","Windows 11","Intel","Core Ultra 7","12","1","1.7","4.8","32","No","No",,,,"0","1","0","Yes","2","1","2.07","242.18","No","23.8",,,,,,,"120",,"No","2.5 inch HDD",,"Connected Sleep","No","0.2","1.9","1.9","19",,"19","52.8","59.3","71.8","Yes","Yes","5","5","Shipped Disabled","Yes","08/22/2025","08/29/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1024439_24-cr_082920250354122_3854080"
"4497581","HP Inc.","HP","HP 23.8","24-cr","HP 23.8 inch All-in-One Desktop AI PC 24-cr ENERGY STAR,24-cr; HP 23.8 inch All-in-One Desktop AI PC 24-cr ENERGY STAR,24-ct; HP 23.8 inch All-in-One Desktop AI PC 24-cr ENERGY STAR,ProOne 240 23.8 inch G10 All-in-One Desktop PC; HP 23.8 inch All-in-One Desktop AI PC 24-cr ENERGY STAR,ProOne 240 G10; HP 23.8 inch All-in-One Desktop AI PC 24-cr ENERGY STAR,ProOne 245 23.8 inch G10 All-in-One Desktop PC; HP 23.8 inch All-in-One Desktop AI PC 24-cr ENERGY STAR,ProOne 245 G10; HP 23.8 inch All-in-One Desktop Next Gen AI PC 24-ct ENERGY STAR,24-cr; HP 23.8 inch All-in-One Desktop Next Gen AI PC 24-ct ENERGY STAR,24-ct; HP 23.8 inch All-in-One Desktop Next Gen AI PC 24-ct ENERGY STAR,ProOne 240 23.8 inch G10 All-in-One Desktop PC; HP 23.8 inch All-in-One Desktop Next Gen AI PC 24-ct ENERGY STAR,ProOne 240 G10; HP 23.8 inch All-in-One Desktop Next Gen AI PC 24-ct ENERGY STAR,ProOne 245 23.8 inch G10 All-in-One Desktop PC; HP 23.8 inch All-in-One Desktop Next Gen AI PC 24-ct ENERGY STAR,ProOne 245 G10; HP 23.8 inch All-in-One Desktop PC 24-cr ENERGY STAR,24-ct; HP 23.8 inch All-in-One Desktop PC 24-cr ENERGY STAR,ProOne 240 23.8 inch G10 All-in-One Desktop PC; HP 23.8 inch All-in-One Desktop PC 24-cr ENERGY STAR,ProOne 240 G10; HP 23.8 inch All-in-One Desktop PC 24-cr ENERGY STAR,ProOne 245 23.8 inch G10 All-in-One Desktop PC; HP 23.8 inch All-in-One Desktop PC 24-cr ENERGY STAR,ProOne 245 G10; HP ProOne 240 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,24-cr; HP ProOne 240 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,24-ct; HP ProOne 240 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 240 23.8 inch G10 All-in-One Desktop PC; HP ProOne 240 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 240 G10; HP ProOne 240 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 245 23.8 inch G10 All-in-One Desktop PC; HP ProOne 240 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 245 G10; HP ProOne 240 G10,24-cr; HP ProOne 240 G10,24-ct; HP ProOne 240 G10,ProOne 240 23.8 inch G10 All-in-One Desktop PC; HP ProOne 240 G10,ProOne 240 G10; HP ProOne 240 G10,ProOne 245 23.8 inch G10 All-in-One Desktop PC; HP ProOne 240 G10,ProOne 245 G10; HP ProOne 245 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,24-cr; HP ProOne 245 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,24-ct; HP ProOne 245 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 240 23.8 inch G10 All-in-One Desktop PC; HP ProOne 245 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 240 G10; HP ProOne 245 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 245 23.8 inch G10 All-in-One Desktop PC; HP ProOne 245 23.8 inch G10 All-in-One Desktop PC ENERGY STAR,ProOne 245 G10; HP ProOne 245 G10,24-cr; HP ProOne 245 G10,24-ct; HP ProOne 245 G10,ProOne 240 23.8 inch G10 All-in-One Desktop PC; HP ProOne 245 G10,ProOne 240 G10; HP ProOne 245 G10,ProOne 245 23.8 inch G10 All-in-One Desktop PC; HP ProOne 245 G10,ProOne 245 G10","196548369461;196548369478;196786924262;196786924279;196786924286;196786924293;196786924309;196786924316;196786932731;196786932748;196786932762;196786933929;196786933936;196786933943;196786989315;196786989322;197029489920;197029571427;197029571441;197029571465;197029571472;197029960696;197029960702;197192175552;197498252476;197498252490;197498269900;197498269917;197498269924;197498269931;197498879123;197498879130;197498879147;197498879154;197961199468;198701436584;198701436607;198701472353;198701474821;198701474838;198701474845;198828914811;198828914828;199251658464;199251658501","Integrated Desktop","Category 1",,"Yes",,"2","Windows 11","Intel","Core Ultra 7","12","1","1.7","4.8","32","No","No",,,,"0","1","0","Yes","2","1","2.07","242.18","No","23.8",,,,,,,"90",,"No","2.5 inch HDD,SSD",,"Connected Sleep","No","0.2","2.5","2.5","18.4",,"9","52.8","60.5","61.8","Yes","Yes","5","5","Shipped Disabled","Yes","08/22/2025","08/29/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1024439_24-cr_082920250353349_4040415"
"4497580","Clientron Corporation","UltrArmor","UA10","TC238-JL",,,"Integrated Thin Client",,,,,,"Windows 10 or Linux","Intel","Intel� Celeron� CPU N5100","4","1","1.1","1.1","4",,,,,,,"1",,"Yes",,"1","2.07","242.91","No",,,,,,,,,,,"Solid State Drive",,"Sleep Mode","No","1","1","6.4","15.9",,,,"61.4","72.3","Yes",,"15","10","Shipped Enabled Under All Conditions",,"03/31/2024","08/29/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1093736_TC238-JL_082620250659349_3161510"
"4497572","LG Electronics, Inc.","LG","24C*6****","24C*6****-**","* may be 0-9, A-Z or blank according to color of stand or enclosure","195174052228","Integrated Thin Client",,,,,,"Windows 10, IGEL OS","Intel","Pentium N6005","1","4","2","3.3","8",,,"No",,,,"1",,"No",,"1","2.07","242.2","No",,,,,,,,,,,"Solid State Drive",,"Sleep Mode","Yes","1.4","1.3","4.7","16.9",,,,"64.2","72.2","Yes",,"30","10","Shipped Enabled When Operating on Ac Power Only",,"04/28/2023","04/17/2023","United States","ES_1118034_24CQ6**I-**_041820230558380_2671182"
"4497570","LG Electronics, Inc.","LG","CQ6***","CQ6***-**","* may be 0-9, A-Z or blank according to color of stand or enclosure",,"Thin Client",,,,,,"Windows 10, Linux IGEL, Linux LG Cloud OS","Intel","N6005","4","1","2","3.3","16",,,,,,,"1",,"No",,,,,"No",,,,,,,,,,,"M.2",,"None","No","0.3","0.6","4","4.3",,,,"19.9","33","Yes",,,,,,"03/30/2022","08/28/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1118034_CQ6**W-**_032420220231109_2517504"
"4497548","Dynabook Americas, Inc.","dynabook","TECRA A65-M","BHL13U","BHL10*; BHL11*; BHL12*; BHL13*; BHL14* (* = any alphanumeric character, symbol or blank)",,"Notebook",,"No","No",,,"Windows 11","AMD","Ryzen 7 Pro 250","8","1","3.3","5.1","64",,,,,,,"1",,"Yes","1",,"2.3","115.09","No","16",,,,,,,"65",,"No","Solid State Drive","60.1","None","No","0.2","1.1","1.1","5.3","5.7","8","15.9","15.9","23.7","Yes","Yes","5","5","Shipped Disabled","Yes","08/29/2025","08/27/2025","United States, Canada","ES_1109262_BHL13U_08282025102244_6332043"
"4497547","Dynabook Americas, Inc.","dynabook","TECRA A45-M","BHM13U","BHM10*; BHM11*; BHM12*; BHM13* (* = any alphanumeric character, symbol or blank)",,"Notebook",,"No","No",,,"Windows 11","AMD","Ryzen 7 Pro 250","8","1","3.3","5.1","64",,,,,,,"1",,"Yes","1",,"2.3","88.12","No","14",,,,,,,"65",,"No","Solid State Drive","60.1","None","No","0.2","1","1","4.9","5.5","8","14.5","15.1","22.3","Yes","Yes","5","5","Shipped Disabled","Yes","08/29/2025","08/27/2025","United States, Canada","ES_1109262_BHM13U_08272025141224_1422528"
"4497537","Dynabook Americas, Inc.","dynabook","PORTEGE X40L-M","PZA40*","PORTEGE X40L-M,PZA41*; PORTEGE X40L-M,PZA42*; PORTEGE X40L-M,PZA43*; PORTEGE X40L-M,PZA44*; PORTEGE X40L-M,PZA45*; PORTEGE X40L-M,PZA46*; PORTEGE X40L-M,PZA47*",,"Notebook",,"No","Yes",,,"Windows 11","Intel","Core Ultra 7","16","1","2.2","5.3","64",,,,,,"0","1","0","Yes","1","1","2.3","88.12","Yes","14",,,,,,,"65",,"No","SSD","65","Connected Modern Standby","No","0.4","0.6","0.6","3.4","3.8","8","15","10.2","23","Yes","No","5","5","Shipped Disabled","Yes","03/31/2025","08/28/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1109262_PZA40*_08212025131309_9815484"
"4497536","Dynabook Americas, Inc.","dynabook","PORTEGE X30L-M","PQU10*","PORTEGE X30L-M,PQU11*; PORTEGE X30L-M,PQU12*; PORTEGE X30L-M,PQU13*; PORTEGE X30L-M,PQU14*",,"Notebook",,"No","Yes",,,"Windows 11","Intel","Core Ultra 7","12","1","1.7","4.9","64",,,,,,"0","1","0","Yes","1","1","2.3","79.26","Yes","13.3",,,,,,,"65",,"No","SSD","56","Connected Modern Standby","No","0.4","0.6","0.6","4.5","5","8","14.5","12","22.5","Yes","No","5","5","Shipped Disabled","Yes","10/08/2024","08/28/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1109262_PQU10*_08212025104426_6585351"
"4497535","Dynabook Americas, Inc.","dynabook","PORTEGE X40L-K","PZA20*","PORTEGE X40L-K,PZA21*; PORTEGE X40L-K,PZA22*; PORTEGE X40L-K,PZA23*; PORTEGE X40L-K,PZA24*; PORTEGE X40L-K,PZA25*; PORTEGE X40L-K,PZA26*; PORTEGE X40L-K,PZA27*",,"Notebook",,"No","No",,,"Windows 11","Intel","Core i7","14","1","1.9","5.2","32",,,,,,"0","1","0","Yes","1","1","2.3","88.12","Yes","14",,,,,,,"65",,"No","SSD","65","Connected Modern Standby","No","0.4","0.6","0.6","3.9","4.2","8","11.2","10.8","19.2","Yes","No","5","5","Shipped Disabled","Yes","01/31/2023","08/28/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1109262_PZA20*_08252025095212_8341028"
"4497534","Dynabook Americas, Inc.","dynabook","TECRA A40-K","PMM30*","PORTEGE X40-K,PMM3A*; PORTEGE X40-K,PMM3B*; PORTEGE X40-K,PMM3C*; PORTEGE X40-K,PMM3D*; PORTEGE X40-K,PMM3E*; SATELLITE PRO A40-K,PMM30*; SATELLITE PRO A40-K,PMM31*; SATELLITE PRO A40-K,PMM32*; SATELLITE PRO A40-K,PMM33*; SATELLITE PRO A40-K,PMM34*; SATELLITE PRO A40-K,PMM35*; SATELLITE PRO R40-K,PMM30*; SATELLITE PRO R40-K,PMM31*; SATELLITE PRO R40-K,PMM32*; SATELLITE PRO R40-K,PMM33*; SATELLITE PRO R40-K,PMM34*; SATELLITE PRO R40-K,PMM35*; TECRA A40-K,PMM31*; TECRA A40-K,PMM32*; TECRA A40-K,PMM33*; TECRA A40-K,PMM34*; TECRA A40-K,PMM35*",,"Notebook",,"No","No",,,"Windows 11","Intel","Core i7","14","1","1.9","5.2","64",,,,,,"0","1","0","Yes","1","1","2.07","83.42","No","14",,,,,,,"65",,"No","SSD","53","Connected Modern Standby","No","0.3","1.3","1.3","6.1","6.9","8","12.9","19","20.9","Yes","No","5","5","Shipped Disabled","Yes","03/31/2023","08/28/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1109262_PMM30*_08222025172134_862848"
